practice_id,wave,method,contactable,sent,delivery_success,hits
E86005,3,e,1,1,1,0
E86007,3,e,1,1,1,0
E87013,3,e,1,1,1,0
E87045,3,e,1,1,1,0
E87069,3,e,1,1,1,1
E87733,3,e,1,1,1,2
E87741,3,e,1,1,1,0
E87754,3,e,1,1,1,0
F81001,3,e,1,1,1,0
F81017,3,e,1,1,1,0
F81030,3,e,1,0,,0
F81036,3,e,1,1,1,0
F81037,3,e,1,1,1,0
F81040,3,e,1,1,1,0
F81048,3,e,1,1,1,0
F81062,3,e,1,1,1,0
F81070,3,e,1,1,1,0
F81072,3,e,1,1,1,0
F81074,3,e,1,1,1,0
F81104,3,e,1,1,1,0
F81112,3,e,1,1,1,0
F81123,3,e,1,1,1,0
F81127,3,e,1,1,1,0
F81147,3,e,1,1,1,0
F81212,3,e,1,1,1,0
F81221,3,e,1,1,1,0
F81223,3,e,1,1,1,0
F81622,3,e,1,1,1,0
F81740,3,e,1,1,1,0
F82006,3,e,1,1,1,0
F82007,3,e,1,1,1,0
F82008,3,e,1,1,0,0
F82018,3,e,1,1,1,2
F82042,3,e,1,1,1,0
F82619,3,e,1,1,1,1
F82648,3,e,1,1,0,0
F82671,3,e,1,1,1,0
F83008,3,e,1,1,1,0
F83023,3,e,1,1,1,0
F83039,3,e,1,1,1,0
